accident_severity,time,day_of_week,road_surface_type,light_conditions,weather_conditions,type_of_collision,area_accident_occured
2.0,15:30:00,Tuesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Unknown,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:20:00,Saturday,,Daylight,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Earth roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,20:15:00,Monday,Earth roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:23:00,Wednesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:48:00,Wednesday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,18:45:00,Wednesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Unknown
2.0,15:31:00,Monday,Asphalt roads,Daylight,Cloudy,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
2.0,2:02:00,Tuesday,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Unknown
2.0,8:58:00,Friday,Asphalt roads,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Unknown
2.0,8:44:00,Tuesday,Asphalt roads,Daylight,Cloudy,Collision with roadside objects,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,Unknown
