accident_severity,time,day_of_week,road_surface_type,light_conditions,weather_conditions,type_of_collision,area_accident_occured
2.0,18:35:00,Saturday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:58:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,15:15:00,Wednesday,Asphalt roads,Daylight,Normal,, Church areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown
2.0,14:42:00,Monday,Asphalt roads,Daylight,Normal,Collision with pedestrians, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,17:10:00,Monday,Asphalt roads,Daylight,Normal,Collision with roadside objects, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Unknown
2.0,8:00:00,Wednesday,Asphalt roads,Daylight,Normal,Collision with animals,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,9:57:00,Thursday,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,9:10:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,15:42:00,Friday,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Fall from vehicles,Unknown
2.0,19:00:00,Thursday,Asphalt roads,Daylight,Normal,Fall from vehicles,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:34:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:40:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,15:55:00,Sunday,Asphalt roads,Daylight,Normal,Collision with roadside objects, Church areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,11:19:00,Monday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Unknown
2.0,19:00:00,Wednesday,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:00:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:55:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
0.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,19:39:00,Thursday,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:15:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:50:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,18:23:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,4:28:00,Tuesday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision, Outside rural areas
2.0,21:45:00,Saturday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision, Outside rural areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,18:15:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,19:02:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:18:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,12:19:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,20:40:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:00:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,10:15:00,Friday,Asphalt roads,Daylight,Normal,Collision with roadside objects,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,16:26:00,Tuesday,Asphalt roads,Daylight,Normal,Collision with roadside objects,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,9:45:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Unknown,Daylight,Normal,Collision with roadside objects,Unknown
2.0,16:00:00,Monday,,Daylight,Normal,Collision with roadside objects,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Unknown
2.0,14:40:00,Saturday,Asphalt roads,Daylight,Normal,Collision with animals,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,20:39:00,Saturday,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:25:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:30:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:15:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,15:12:00,Sunday,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,19:50:00,Wednesday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,15:05:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,9:12:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:20:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:30:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:25:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
0.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:00:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
1.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,20:55:00,Sunday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:25:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown
2.0,7:25:00,Friday,Asphalt roads,Daylight,Normal,Collision with pedestrians,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown
2.0,17:45:00,Wednesday,Asphalt roads,Daylight,Normal,Collision with pedestrians,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,19:15:00,Wednesday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,19:15:00,Wednesday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Unknown,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:12:00,Saturday,,Daylight,Normal,Vehicle with vehicle collision,Office areas
0.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:00:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:57:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown
2.0,10:00:00,Monday,Asphalt roads,Daylight,Normal,Collision with pedestrians,Office areas
1.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,17:06:00,Tuesday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,18:30:00,Sunday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Residential areas
0.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:00:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,  Market areas
1.0,Unknown,Unknown,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,23:35:00,Saturday,Earth roads,Darkness - lights lit,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,21:05:00,Friday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,22:00:00,Sunday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,School areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:22:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,16:00:00,Sunday,Asphalt roads,Daylight,Normal,Collision with roadside objects,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:30:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,6:05:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Outside rural areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:45:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:00:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Rollover,Unknown
2.0,7:25:00,Friday,Asphalt roads,Daylight,Normal,Rollover,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,15:50:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,22:15:00,Sunday,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects, Church areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,19:25:00,Friday,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,17:58:00,Monday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,19:50:00,Friday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:23:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
1.0,Unknown,Unknown,Earth roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,19:25:00,Friday,Earth roads,Daylight,Normal,Collision with roadside objects,Other
2.0,Unknown,Unknown,Gravel roads,Daylight,Normal,Collision with pedestrians,Unknown
2.0,10:30:00,Monday,Gravel roads,Daylight,Normal,Collision with pedestrians,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Rollover,Unknown
2.0,21:00:00,Friday,Asphalt roads,Darkness - lights lit,Normal,Rollover,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,17:34:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:35:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:00:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:38:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Other,Unknown
2.0,12:11:00,Thursday,Asphalt roads,Daylight,Normal,Other,  Recreational areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Rollover,Unknown
2.0,7:21:00,Thursday,Asphalt roads,Daylight,Normal,Rollover,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,22:33:00,Thursday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,19:45:00,Friday,Earth roads,Daylight,Normal,Vehicle with vehicle collision, Hospital areas
2.0,Unknown,Unknown,Unknown,Darkness - lights lit,Normal,Rollover,Unknown
2.0,21:30:00,Sunday,,Darkness - lights lit,Normal,Rollover,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,3:02:00,Sunday,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,17:46:00,Thursday,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other
1.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,2:20:00,Saturday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,17:25:00,Thursday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:00:00,Tuesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,13:07:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,  Recreational areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:50:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,0:25:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:06:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Collision with animals,Unknown
2.0,11:02:00,Thursday,Earth roads,Daylight,Normal,Collision with animals,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Unknown
2.0,18:00:00,Wednesday,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,17:50:00,Friday,Asphalt roads,Daylight,Normal,Collision with roadside objects, Church areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,17:10:00,Friday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,19:00:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:38:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,15:10:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Rural village areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown
2.0,9:47:00,Friday,Asphalt roads,Daylight,Normal,Collision with pedestrians,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,18:15:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
2.0,18:35:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:04:00,Wednesday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,20:57:00,Tuesday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,  Recreational areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:56:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Unknown
2.0,15:55:00,Tuesday,Asphalt roads,Daylight,Normal,Collision with animals,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Fall from vehicles,Unknown
2.0,16:10:00,Sunday,Asphalt roads,Daylight,Normal,Fall from vehicles,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,14:49:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,22:30:00,Sunday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:50:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Rollover,Unknown
2.0,9:51:00,Thursday,Asphalt roads,Daylight,Normal,Rollover,  Recreational areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:32:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Earth roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:04:00,Tuesday,Earth roads,Daylight,Normal,Vehicle with vehicle collision,School areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,20:30:00,Wednesday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,1:49:00,Monday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Other,Daylight,Normal,Collision with pedestrians,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,10:30:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Industrial areas
2.0,6:00:00,Saturday,Other,Daylight,Normal,Collision with pedestrians,Office areas
1.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,22:55:00,Saturday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,18:40:00,Tuesday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,12:15:00,Sunday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,12:00:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,7:25:00,Thursday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:10:00,Sunday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Office areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,16:25:00,Saturday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,8:10:00,Friday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision, Outside rural areas
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Unknown
2.0,19:54:00,Wednesday,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision, Industrial areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Unknown
2.0,11:50:00,Monday,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Other
2.0,19:08:00,Tuesday,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Residential areas
2.0,Unknown,Unknown,Earth roads,Darkness - lights lit,Normal,Collision with pedestrians,Unknown
2.0,19:02:00,Saturday,Earth roads,Darkness - lights lit,Normal,Collision with pedestrians, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Unknown
2.0,15:10:00,Saturday,Asphalt roads,Daylight,Normal,Collision with animals, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with animals,Unknown
2.0,8:20:00,Friday,Asphalt roads,Daylight,Normal,Collision with animals,Other
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Unknown
2.0,22:00:00,Friday,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,Unknown
2.0,Unknown,Unknown,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,22:20:00,Sunday,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,Unknown
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,12:37:00,Wednesday,Asphalt roads,Daylight,Normal,Collision with roadside objects,Office areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,10:38:00,Wednesday,Asphalt roads,Daylight,Normal,Collision with roadside objects, Church areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,16:58:00,Thursday,Asphalt roads,Daylight,Normal,Collision with roadside objects,School areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,3:55:00,Monday,Asphalt roads,Daylight,Normal,Collision with roadside objects,Residential areas
1.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Collision with roadside objects,Unknown
2.0,8:10:00,Wednesday,Asphalt roads,Daylight,Normal,Collision with roadside objects,Residential areas
2.0,Unknown,Unknown,Asphalt roads,Daylight,Normal,Rollover,Unknown
2.0,16:10:00,Monday,Asphalt roads,Daylight,Normal,Rollover,Other
